Year,Week,VHI,Province_ID,Province_Name
1987,22,38.93,21,Хмельницька
1987,23,40.85,21,Хмельницька
1987,24,43.73,21,Хмельницька
1987,25,47.79,21,Хмельницька
1987,26,51.29,21,Хмельницька
1987,27,52.04,21,Хмельницька
1987,28,53.81,21,Хмельницька
1987,29,53.31,21,Хмельницька
1987,30,52.57,21,Хмельницька
1987,31,56.02,21,Хмельницька
1987,32,60.17,21,Хмельницька
1987,33,64.46,21,Хмельницька
1987,34,66.33,21,Хмельницька
1987,35,65.1,21,Хмельницька
1987,36,63.16,21,Хмельницька
1987,37,61.0,21,Хмельницька
1987,38,59.06,21,Хмельницька
1987,39,56.6,21,Хмельницька
1987,40,54.02,21,Хмельницька
1987,41,51.28,21,Хмельницька
1987,42,49.06,21,Хмельницька
1987,43,49.3,21,Хмельницька
1987,44,45.79,21,Хмельницька
1987,45,41.34,21,Хмельницька
1987,46,37.59,21,Хмельницька
1987,47,35.42,21,Хмельницька
1987,48,31.89,21,Хмельницька
1987,49,29.87,21,Хмельницька
1987,50,27.96,21,Хмельницька
1987,51,27.21,21,Хмельницька
1987,52,29.46,21,Хмельницька
1988,1,32.32,21,Хмельницька
1988,2,35.81,21,Хмельницька
1988,3,38.99,21,Хмельницька
1988,4,42.06,21,Хмельницька
1988,5,43.24,21,Хмельницька
1988,6,43.88,21,Хмельницька
1988,7,46.32,21,Хмельницька
1988,8,50.28,21,Хмельницька
1988,9,52.83,21,Хмельницька
1988,10,52.23,21,Хмельницька
1988,11,49.67,21,Хмельницька
1988,12,46.8,21,Хмельницька
1988,13,43.62,21,Хмельницька
1988,14,42.51,21,Хмельницька
1988,15,44.87,21,Хмельницька
1988,16,47.72,21,Хмельницька
1988,17,51.05,21,Хмельницька
1988,18,51.24,21,Хмельницька
1988,19,48.64,21,Хмельницька
1988,20,48.18,21,Хмельницька
1988,21,48.94,21,Хмельницька
1988,22,48.89,21,Хмельницька
1988,23,48.96,21,Хмельницька
1988,24,50.33,21,Хмельницька
1988,25,52.76,21,Хмельницька
1988,26,53.7,21,Хмельницька
1988,27,54.88,21,Хмельницька
1988,28,57.28,21,Хмельницька
1988,29,58.73,21,Хмельницька
1988,30,59.77,21,Хмельницька
1988,31,60.65,21,Хмельницька
1988,32,59.18,21,Хмельницька
1988,33,57.24,21,Хмельницька
1988,34,56.58,21,Хмельницька
1988,35,54.87,21,Хмельницька
1988,36,51.67,21,Хмельницька
1988,37,48.9,21,Хмельницька
1988,38,47.16,21,Хмельницька
1988,39,47.16,21,Хмельницька
1988,40,46.85,21,Хмельницька
1988,41,53.13,21,Хмельницька
1988,42,55.83,21,Хмельницька
1988,43,58.02,21,Хмельницька
1988,44,55.01,21,Хмельницька
1988,45,49.75,21,Хмельницька
1988,46,44.62,21,Хмельницька
1988,47,42.27,21,Хмельницька
1988,48,41.51,21,Хмельницька
1988,49,40.85,21,Хмельницька
1988,50,35.67,21,Хмельницька
1988,51,31.99,21,Хмельницька
1988,52,30.31,21,Хмельницька
1989,1,26.51,21,Хмельницька
1989,2,25.41,21,Хмельницька
1989,3,25.17,21,Хмельницька
1989,4,25.41,21,Хмельницька
1989,5,26.84,21,Хмельницька
1989,6,27.73,21,Хмельницька
1989,7,27.78,21,Хмельницька
1989,8,28.45,21,Хмельницька
1989,9,29.42,21,Хмельницька
1989,10,31.38,21,Хмельницька
1989,11,32.05,21,Хмельницька
1989,12,36.18,21,Хмельницька
